record_id,age,region,income,education,gender,saab,hormone,top_sex,bottom_sex,sex_orient,sex_attrac,sex_last_year,ethnic,isos_1,isos_2,isos_3,isos_4,isos_5,isos_6,isos_7,isos_8,isos_9,isos_10,isos_11,isos_12,isos_13,isos_14,isos_15,gims_1,gims_2,gims_3,gims_4,gims_5,gims_6,gims_7,gims_8,gims_9,gims_10,gims_11,gims_12,gims_13,gims_14,sobbs_1,sobbs_2,sobbs_3,sobbs_4,sobbs_5,sobbs_6,sobbs_7,sobbs_8,sobbs_9,sobbs_10,sobbs_11,sobbs_12,sobbs_13,sobbs_14,tis_1,tis_2,tis_3,tis_4,tis_5,tis_6,tis_7,tis_8,tis_9,tis_10,tis_11,tis_12,tis_13,tis_14,tis_15,tis_16,tis_17,tis_18,tis_19,tis_20,tis_21,tis_22,tis_23,tis_24,tis_25,tis_26,pfq2s_1,pfq2s_10,pfq2s_9,pfq2s_8,pfq2s_7,pfq2s_6,pfq2s_5,pfq2s_4,pfq2s_3,pfq2s_2,mhi_1,mhi_5,mhi_4,mhi_3,mhi_2,open_comment
6,25,East Coast,"$20,000 - $44,999",bachelors degree,trans_masc,female,unsure about the future,unsure about the future,do not plan to in the future,asexual,no sex attrac,cisgender men,White / European American,3,4,5,4,4,3,3,4,3,2,2,3,3,2,3,1,1,1,1,1,1,0,0,0,0,0,1,1,1,3,4,2,5,1,5,5,4,2,3,4,4,4,4,3,7,7,5,5,3,3,4,3,3,2,4,1,3,1,5,2,1,7,3,2,5,5,4,5,7,4,3,4,2,5,2,2,4,5,2,4,5,2,3,5,NA
7,31,Southwest,"$20,000 - $44,999",bachelors degree,trans_man,female,currently taking,would like to in the future,unsure about the future,gay,cisgender men,cisgender men,White / European American,2,2,4,4,3,3,2,3,2,2,3,1,2,1,2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,3,4,2,5,1,4,4,4,1,1,1,4,2,5,4,7,5,1,6,6,4,1,3,2,4,6,2,1,1,2,4,2,6,3,4,1,2,4,6,7,3,3,2,2,2,4,3,2,3,2,2,4,3,4,6,NA
9,34,Southwest,"$20,000 - $44,999",some college,trans_man,female,currently taking,have had,unsure about the future,queer,all genders,all genders,Black / African American / Caribbean American,1,2,3,2,2,3,2,2,2,3,2,3,3,3,2,0,0,1,1,1,1,1,1,1,0,0,0,1,0,2,4,1,2,1,4,2,2,1,3,2,4,2,4,5,6,4,5,2,6,5,2,4,2,4,6,2,2,5,4,4,4,6,5,1,6,2,4,5,5,3,2,2,2,3,3,3,3,4,2,3,3,5,5,6,NA
10,33,Southwest,"less than $20,000",some college,trans_fem,male,unsure about the future,do not plan to in the future,unsure about the future,queer,all genders,all genders,White / European American,3,2,4,3,2,2,2,3,2,2,2,2,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,2,4,1,4,2,5,4,4,2,1,2,4,2,1,4,5,3,2,5,5,4,2,2,1,1,3,1,1,5,1,1,1,6,1,1,5,2,5,4,7,3,2,3,2,4,2,2,2,4,2,5,4,3,3,5,NA
11,28,Midwest,"$20,000 - $44,999",some college,trans_fem,male,currently taking,unsure about the future,do not plan to in the future,bi/pansexual,all genders,all genders,White / European American,2,2,4,3,2,2,2,3,1,1,2,2,2,2,2,1,1,1,0,1,1,1,1,0,0,0,1,1,0,2,3,2,4,1,5,4,3,3,1,3,5,2,5,5,6,3,2,1,7,5,1,5,1,5,5,2,1,1,1,3,4,7,5,1,1,1,2,7,7,2,3,1,1,2,3,2,1,4,2,2,3,4,5,6,NA
12,28,Southwest,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,unsure about the future,heterosexual,cisgender women,cisgender women,White / European American,1,4,5,5,4,5,1,5,4,5,4,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,5,4,5,3,5,5,5,2,2,2,5,2,5,1,4,7,7,7,4,2,7,7,5,7,2,7,7,5,7,7,7,5,7,7,7,2,6,4,4,5,5,5,4,4,5,5,5,5,5,5,5,1,2,2,NA
13,20,Midwest,"less than $20,000",high school diploma / GED,trans_masc,female,currently taking,have had,would like to in the future,queer,all genders,cisgender m&w,White / European American,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,2,5,2,4,2,4,4,4,2,1,2,4,2,4,6,5,2,2,5,6,5,2,2,2,3,5,2,2,3,2,2,2,6,5,2,5,1,3,5,5,3,2,4,3,4,2,2,3,5,1,4,6,2,4,5,NA
15,44,East Coast,"$45,000 - $139,999",high school diploma / GED,trans_fem,male,currently taking,would like to in the future,would like to in the future,lesbian,cisgender women,cisgender women,White / European American,2,4,5,5,2,3,1,4,1,2,1,2,2,3,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,3,4,5,5,7,7,4,5,2,7,5,5,6,4,6,5,6,7,7,7,1,6,6,6,7,4,5,6,4,4,4,4,4,4,4,5,5,5,3,3,4,4,5,NA
16,23,Midwest,"less than $20,000",some college,non_binary,female,currently taking,do not plan to in the future,do not plan to in the future,queer,specific genders,all genders,White / European American,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,2,3,2,4,2,3,5,4,2,3,3,3,4,4,6,6,1,2,3,6,5,1,1,1,5,4,1,1,5,1,5,1,5,5,1,5,5,5,6,6,3,3,4,4,4,2,3,3,3,3,4,5,3,3,4,NA
19,37,East Coast,"less than $20,000",graduate school,trans_masc,female,currently taking,have had,would like to in the future,bi/pansexual,all genders,specific genders,White / European American,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3,2,4,2,2,3,2,1,2,2,3,2,2,2,3,6,5,3,1,1,5,2,2,2,2,1,4,4,4,3,4,2,2,1,2,6,2,2,6,3,2,3,3,3,2,1,3,2,2,5,5,4,4,4,NA
22,23,East Coast,"$20,000 - $44,999",bachelors degree,trans_fem,male,currently taking,do not plan to in the future,would like to in the future,bi/pansexual,cisgender m&w,cisgender m&w,White / European American,1,1,3,2,1,1,1,2,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,2,3,3,3,2,2,2,4,2,2,1,3,7,2,4,1,1,4,5,3,5,2,5,3,2,6,6,5,4,6,3,4,5,6,2,2,4,3,3,2,2,4,3,1,4,2,5,4,3,3,4,NA
23,30,Midwest,"less than $20,000",graduate school,trans_man,female,currently taking,would like to in the future,do not plan to in the future,queer,cisgender men,cisgender men,White / European American,3,4,3,4,3,3,3,3,3,2,2,2,2,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,3,3,2,1,1,2,1,1,1,5,6,1,1,3,7,4,1,5,2,4,5,3,2,2,3,4,2,6,5,2,6,2,5,6,6,3,2,2,3,3,1,1,1,4,2,4,4,3,4,5,NA
24,18,East Coast,"less than $20,000",high school diploma / GED,trans_man,female,plan to take in the future,would like to in the future,would like to in the future,bi/pansexual,all genders,all genders,White / European American,3,4,4,2,2,2,3,2,2,1,2,2,2,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,2,4,3,4,2,4,4,4,2,3,2,4,4,4,6,5,7,7,3,6,1,6,6,6,6,5,5,6,6,6,6,6,6,6,4,2,7,2,5,6,4,3,3,3,4,2,3,3,4,3,3,3,5,4,4,NA
25,22,East Coast,"$45,000 - $139,999",bachelors degree,trans_man,female,currently taking,have had,unsure about the future,heterosexual,cisgender women,cisgender women,Other,2,1,2,3,1,3,1,2,1,2,1,1,1,1,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,2,3,2,4,3,4,4,4,1,3,2,3,1,3,1,2,5,5,4,1,1,3,7,7,6,5,6,5,3,7,6,6,1,6,5,4,7,7,2,5,3,3,4,2,2,2,3,3,4,4,5,4,4,2,2,NA
26,22,Midwest,"less than $20,000",bachelors degree,trans_masc,female,do not plan to take in the future,would like to in the future,do not plan to in the future,gay,cisgender women,cisgender women,White / European American,2,4,4,4,2,2,2,3,1,2,1,2,2,2,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,4,1,4,1,3,4,4,1,1,1,4,1,3,4,5,5,3,5,1,4,3,1,1,1,4,1,4,1,5,1,2,4,1,1,1,2,3,3,7,4,3,2,2,3,4,3,2,5,2,3,4,2,3,5,NA
27,36,East Coast,"$20,000 - $44,999",bachelors degree,trans_man,female,currently taking,would like to in the future,unsure about the future,bi/pansexual,all genders,cisgender women,White / European American,1,3,4,3,3,2,1,3,1,2,1,3,3,2,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,4,1,4,1,5,4,4,1,2,1,5,1,4,2,3,5,3,5,5,1,1,3,3,6,1,5,2,1,5,6,5,4,5,5,5,4,2,5,4,4,2,1,1,3,2,2,3,5,2,3,5,1,4,5,NA
29,28,Midwest,"less than $20,000",some college,trans_woman,male,currently taking,unsure about the future,would like to in the future,lesbian,cisgender women,cisgender women,White / European American,1,2,4,4,2,3,1,4,3,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,4,2,4,2,5,4,4,2,2,1,5,1,5,5,2,7,6,3,3,1,7,5,5,4,2,2,5,5,5,6,6,6,7,5,2,7,2,5,2,5,3,4,4,5,2,2,4,5,5,5,4,2,3,3,NA
30,29,East Coast,"$45,000 - $139,999",graduate school,trans_man,female,plan to take in the future,unsure about the future,do not plan to in the future,NA,cisgender women,cisgender women,White / European American,3,1,4,4,3,3,3,4,2,2,2,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,4,5,4,1,1,1,4,1,4,2,2,7,7,5,1,1,6,5,3,6,1,5,7,4,7,7,7,1,6,3,2,7,1,1,1,4,4,1,1,4,1,3,3,4,2,3,3,4,4,5,NA
31,21,East Coast,"less than $20,000",some college,trans_masc,female,currently taking,have had,would like to in the future,queer,cisgender women,cisgender women,Multiethnic,1,3,4,4,1,1,2,3,1,3,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,4,2,1,1,4,3,1,5,1,1,5,2,1,1,1,1,1,7,1,4,5,1,1,5,5,3,1,3,2,3,1,1,1,5,1,2,4,2,6,6,NA
32,24,East Coast,"$45,000 - $139,999",some college,trans_man,female,currently taking,would like to in the future,would like to in the future,bi/pansexual,cisgender m&w,cisgender women,White / European American,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,2,4,2,4,4,4,2,2,2,4,2,2,2,2,6,3,5,2,2,4,3,3,5,3,3,4,5,5,5,4,3,5,3,3,5,3,3,5,3,2,3,1,4,2,3,3,4,3,4,4,3,3,3,NA
33,40,West Coast,"less than $20,000",associate degree,trans_man,female,currently taking,would like to in the future,would like to in the future,bi/pansexual,cisgender m&w,cisgender women,Multiethnic,2,3,3,3,2,2,1,2,1,1,2,2,2,2,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,4,1,4,3,5,5,5,4,2,3,4,2,4,6,5,4,5,5,2,3,1,5,5,5,5,5,2,2,2,5,5,4,6,6,3,6,4,2,5,4,3,3,3,2,3,2,3,4,2,2,2,4,5,6,NA
34,25,East Coast,"less than $20,000",graduate school,trans_masc,female,currently taking,have had,do not plan to in the future,bi/pansexual,all genders,all genders,White / European American,2,3,3,3,2,2,1,1,2,2,2,3,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,4,1,4,1,4,4,3,1,1,2,4,1,3,5,3,4,2,5,2,5,2,1,2,4,5,2,2,2,2,7,4,5,6,1,3,2,2,2,7,3,2,3,2,3,2,2,2,3,2,4,4,3,5,6,NA
38,43,Midwest,"$20,000 - $44,999",some college,trans_woman,male,currently taking,would like to in the future,would like to in the future,bi/pansexual,cisgender m&w,cisgender m&w,White / European American,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3,4,3,4,3,4,4,4,3,4,3,4,3,4,2,2,6,7,7,1,1,7,5,5,6,4,5,6,7,7,6,6,2,6,6,6,7,4,3,4,5,5,5,4,5,4,5,5,5,5,5,5,2,2,3,NA
42,19,West Coast,"less than $20,000",some college,trans_man,female,currently taking,have had,would like to in the future,gay,cisgender men,cisgender men,Hispanic / Latina(o) / Latin American / Chicana(o),1,1,3,3,1,3,1,3,3,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,4,4,1,1,1,1,1,1,4,1,1,7,5,5,1,1,7,5,6,4,1,1,5,1,5,6,7,1,4,1,7,3,4,1,1,3,2,3,1,1,3,1,1,3,1,4,4,2,2,4,NA
44,22,West Coast,"less than $20,000",bachelors degree,trans_man,female,currently taking,have had,have had,heterosexual,cisgender women,cisgender women,East Asian / Asian American,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,3,4,4,2,2,4,1,1,1,1,4,1,5,2,1,6,3,6,1,1,4,6,6,4,1,4,5,4,5,6,6,1,5,3,7,3,4,1,1,2,1,1,1,3,1,1,1,2,2,2,3,4,6,6,NA
45,24,Rocky Mountains,"$45,000 - $139,999",bachelors degree,trans_man,female,currently taking,would like to in the future,would like to in the future,heterosexual,cisgender women,cisgender women,Hispanic / Latina(o) / Latin American / Chicana(o),2,3,5,5,2,1,2,3,1,3,1,2,2,2,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,4,2,5,2,4,5,5,3,2,2,4,1,4,1,2,6,6,5,1,1,5,7,6,6,2,5,6,6,6,6,4,6,6,6,4,7,2,2,7,4,4,4,2,3,1,3,3,5,4,3,4,3,4,5,NA
46,19,Midwest,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,would like to in the future,gay,cisgender men,cisgender men,East Asian / Asian American,2,3,5,4,3,2,2,3,2,2,3,1,3,1,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2,4,2,4,2,5,5,4,2,2,2,5,4,5,1,2,7,5,6,2,1,7,7,6,6,1,6,7,5,5,6,5,1,5,6,6,7,2,1,4,4,2,5,3,5,1,3,5,5,4,5,5,4,2,2,NA
49,19,Southwest,"less than $20,000",associate degree,trans_man,female,currently taking,would like to in the future,unsure about the future,asexual,no sex attrac,no sex attrac,White / European American,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,2,1,3,4,2,4,4,4,2,1,4,3,1,5,2,2,5,3,7,2,3,3,2,3,5,2,2,2,2,2,5,7,3,5,3,7,3,6,3,2,4,4,4,5,5,3,3,2,5,2,4,3,1,4,5,NA
51,19,West Coast,"less than $20,000",some college,trans_man,female,currently taking,would like to in the future,unsure about the future,queer,all genders,all genders,White / European American,4,3,5,5,4,4,4,4,4,4,4,3,3,2,3,0,1,1,0,1,1,1,1,1,0,0,0,0,0,2,4,2,4,1,4,5,4,1,2,2,3,2,4,2,3,6,5,6,2,5,4,5,4,5,3,4,4,5,5,6,5,4,5,2,4,6,4,3,6,4,3,3,2,4,3,3,3,4,3,3,3,2,3,4,NA
54,21,West Coast,"$20,000 - $44,999",some college,trans_man,female,currently taking,would like to in the future,would like to in the future,bi/pansexual,all genders,cisgender m&w,White / European American,2,1,3,3,1,2,1,3,2,2,2,1,1,1,2,1,1,1,0,1,1,0,1,0,1,NA,NA,NA,1,1,4,1,4,1,5,4,4,1,2,1,4,1,4,3,5,6,6,7,5,3,5,2,5,7,1,2,5,7,7,6,6,4,5,6,6,6,2,5,4,4,4,5,4,3,4,5,3,3,3,4,5,4,2,3,NA
55,26,Southwest,"$20,000 - $44,999",bachelors degree,non_binary,female,do not plan to take in the future,have had,do not plan to in the future,bi/pansexual,all genders,all genders,White / European American,3,3,4,5,4,4,3,4,4,3,2,2,2,2,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,3,4,3,3,2,5,4,4,2,3,2,4,2,4,5,5,5,4,5,3,3,4,2,2,4,3,2,5,4,7,3,5,4,3,3,5,4,5,3,3,3,4,4,2,4,2,2,3,4,3,4,4,3,2,2,NA
56,25,West Coast,"$45,000 - $139,999",bachelors degree,trans_man,female,currently taking,have had,have had,gay,cisgender men,cisgender men,White / European American,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,6,3,6,1,1,5,7,7,6,1,5,7,1,6,7,7,1,5,5,6,5,4,1,1,2,2,1,1,1,2,3,1,2,1,2,2,6,6,6,NA
58,33,Midwest,"$20,000 - $44,999",bachelors degree,trans_man,female,currently taking,have had,unsure about the future,bi/pansexual,cisgender m&w,cisgender women,White / European American,1,1,3,3,3,2,3,4,3,2,2,2,1,2,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,3,2,5,1,5,4,3,2,3,2,3,3,4,1,2,6,5,7,2,1,5,4,5,1,1,2,5,4,7,6,6,2,4,4,7,5,4,2,4,4,2,3,2,3,3,1,3,4,2,3,4,4,5,5,NA
60,24,East Coast,"less than $20,000",high school or less,trans_man,female,took in the past but not currently,would like to in the future,unsure about the future,bi/pansexual,cisgender m&w,cisgender men,White / European American,1,4,5,4,4,3,2,4,3,5,2,4,5,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,4,2,5,2,4,4,5,3,4,2,4,4,4,4,3,3,7,7,6,4,5,5,3,6,4,6,5,6,2,6,5,5,4,5,5,3,3,5,4,4,3,4,3,4,2,3,5,NA,3,5,4,3,2,1,NA
62,24,West Coast,"less than $20,000",bachelors degree,trans_masc,female,plan to take in the future,would like to in the future,unsure about the future,bi/pansexual,all genders,all genders,Multiethnic,3,2,4,4,3,3,3,4,3,1,2,3,2,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,4,2,2,2,2,2,2,2,2,1,2,2,2,4,5,5,5,6,3,4,5,2,2,2,5,2,2,5,5,2,5,4,2,2,6,5,4,4,5,3,4,3,4,3,1,4,3,3,1,5,5,3,2,4,NA
64,21,Midwest,"less than $20,000",some college,trans_masc,female,currently taking,would like to in the future,would like to in the future,queer,all genders,all genders,White / European American,1,3,4,4,3,3,1,3,3,2,3,3,3,3,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,2,4,2,2,1,5,4,4,1,4,1,4,4,4,6,6,5,5,4,2,4,5,3,1,5,4,3,5,5,5,3,5,5,3,4,4,5,1,3,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,4,NA
67,18,Midwest,"less than $20,000",some college,trans_man,female,plan to take in the future,would like to in the future,would like to in the future,bi/pansexual,all genders,all genders,Black / African American / Caribbean American,1,5,5,5,4,5,1,5,4,4,4,3,2,1,3,1,1,1,0,1,1,1,0,1,1,0,0,1,1,3,5,4,5,2,5,5,5,2,1,3,4,3,5,2,1,7,5,5,2,1,1,6,7,3,3,6,2,3,7,7,5,5,5,5,2,7,4,2,2,4,4,4,3,3,2,4,3,5,4,5,6,3,1,2,NA
68,22,West Coast,"more than $140,000",bachelors degree,trans_man,female,currently taking,have had,would like to in the future,bi/pansexual,all genders,cisgender women,East Asian / Asian American,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2,1,1,1,2,1,1,1,2,5,3,2,1,1,3,1,1,3,1,2,5,2,1,1,1,5,2,6,3,1,1,2,2,5,6,3,2,1,3,2,2,3,1,3,2,2,2,6,5,6,NA
69,19,West Coast,"$20,000 - $44,999",high school diploma / GED,trans_man,female,took in the past but not currently,would like to in the future,would like to in the future,bi/pansexual,all genders,cisgender men,Hispanic / Latina(o) / Latin American / Chicana(o),2,1,4,3,3,3,2,3,3,1,1,2,2,1,2,1,0,1,1,1,1,1,1,1,0,0,1,0,0,3,5,5,5,4,4,4,4,2,2,2,4,2,5,4,5,5,6,6,3,1,4,4,2,6,5,4,4,5,2,2,7,3,2,2,6,3,3,4,2,4,3,2,2,2,4,3,3,5,2,4,3,1,4,5,NA
70,18,East Coast,"less than $20,000",associate degree,trans_man,female,plan to take in the future,would like to in the future,would like to in the future,gay,cisgender men,cisgender m&w,White / European American,1,2,4,4,4,3,1,3,3,1,3,2,2,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2,5,1,4,5,5,1,1,1,5,2,5,3,5,5,2,2,7,5,2,2,3,4,5,3,3,3,6,7,1,7,6,2,2,5,3,6,5,3,4,3,1,3,1,3,1,4,1,3,3,5,3,5,"Some of the agree/disagree questions are worded as ""pass as a man or woman"" when it would probably be better (in my opinion) to say ""pass as the gender you identify with."" The current phrasing seems exclusionary to nonbinary people and I was sometimes unsure whether it meant passing as my assigned gender, my actual gender, or either."
71,24,Midwest,"$20,000 - $44,999",graduate school,unsure,female,unsure about the future,unsure about the future,unsure about the future,lesbian,cisgender women,cisgender women,Multiethnic,2,1,2,2,1,2,2,2,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,3,3,2,4,3,3,1,3,2,4,3,3,3,1,7,7,2,1,3,2,7,5,7,5,5,4,1,2,7,5,5,2,7,1,7,1,1,7,4,3,4,4,3,3,2,2,5,3,2,2,4,5,6,NA
