lhs,op,rhs,est.std,se,z,pvalue,ci.lower,ci.upper
dehum,=~,gims,0.8793308206878115,0.055474820292733575,15.850989981539275,0,0.770602170865222,0.9880594705104011
dehum,=~,isos,0.7239790407771687,0.05837589983575656,12.40201937467549,0,0.6095643795339682,0.8383937020203691
mhi,~,dehum,-0.06767398149189277,0.07436199559536642,-0.910061395610389,0.363,-0.21342081467733706,0.07807285169355152
mhi,~,tis,-0.12185519088857118,0.05905937109516236,-2.063265975051206,0.039,-0.23760943118467526,-0.006100950592467097
mhi,~,sobbs,0.12229830999290044,0.1029892798081033,1.1874858259109593,0.235,-0.0795569692247002,0.3241535892105011
mhi,~,pfq2s,-0.7373001923533467,0.08197697742711986,-8.993990941039879,0,-0.8979721156719546,-0.5766282690347387
tis,~,dehum,0.22595418262570438,0.065193291618442,3.4659115534179596,0.001,0.0981776790199411,0.35373068623146764
sobbs,~,dehum,0.5423284362853138,0.07214178471866989,7.517535619616606,0,0.4009331364562788,0.6837237361143488
pfq2s,~,dehum,0.23914703889153918,0.0719790267480692,3.3224544661956568,0.001,0.09807073882307837,0.38022333896
pfq2s,~,tis,0.43996206478974537,0.06335585617450808,6.944299885679217,0,0.31578686847800996,0.5641372611014808
pfq2s,~,sobbs,0.3501742329342667,0.09020815847568717,3.881846596265962,0,0.17336949121023826,0.5269789746582951
d_it_mh,:=,DIT*ITM,-0.02753369005592628,0.015535877500898826,-1.7722648787835333,0.076,-0.057983450425914115,0.002916070314061551
d_so_mh,:=,DSO*SOM,0.06632585121878626,0.0570173406289973,1.163257536866862,0.245,-0.045426082908300774,0.1780777853458733
d_s_mh,:=,DS*SM,-0.17632315777546512,0.05616505302793576,-3.1393749007548215,0.002,-0.2864046389000015,-0.06624167665092874
it_s_mh,:=,ITS*SM,-0.3243841149976548,0.0542802920082645,-5.9760937717185705,0,-0.43077153240417054,-0.21799669759113907
so_s_mh,:=,SOS*SM,-0.25818352929962046,0.07740050660894042,-3.335682679753908,0.001,-0.4098857346382981,-0.10648132396094284
total_dehum,:=,DM+(DIT*ITM)+(DSO*SOM)+(DS*SM),-0.2052049781044979,0.07795644118304347,-2.6323030527095512,0.008,-0.3579967951861781,-0.05241316102281768
total_int_tran,:=,ITM+(ITS*SM),-0.44623930588622596,0.06801693343156061,-6.560708978966788,0,-0.579550045750943,-0.31292856602150887
total_self_obj,:=,SOM+(SOS*SM),-0.13588521930672004,0.11142761181599953,-1.2194932395312157,0.223,-0.35427932534938883,0.08250888673594875
