lhs,op,rhs,est.std,se,z,pvalue,ci.lower,ci.upper
mhi,~,dehum,-0.12356870046912866,0.0518870914232261,-2.381492141488892,0.01724265866162389,-0.22526553092118895,-0.021871870017068376
mhi,~,pfq2s,-0.7127998327739159,0.051128965611099954,-13.941213639948332,0,-0.8130107639384587,-0.6125889016093731
mhi,~,sobbs,0.16614596412225321,0.08243274583526543,2.0155335411764796,0.04384877531561826,0.004580751138388878,0.3277111771061175
mhi,~,tis,-0.16427772806100807,0.050131272715519884,-3.276951075892996,0.0010493455018645292,-0.2625332170825825,-0.06602223903943365
pfq2s,~,dehum,0.2024628639869123,0.057495455970512276,3.5213715687505727,4.293205770276032e-4,0.08977384100999984,0.31515188696382473
pfq2s,~,sobbs,0.4428961008105866,0.07205558606496401,6.1465893901866195,7.916671762586702e-10,0.30166974723833095,0.5841224543828423
pfq2s,~,tis,0.23335221475350326,0.05881878595161426,3.9673075698207096,7.268915998692727e-5,0.11806951267396885,0.34863491683303766
sobbs,~,dehum,0.5018091434490262,0.05851705937094148,8.575433366670772,0,0.3871178146007888,0.6165004722972636
tis,~,dehum,0.16762668333396727,0.04791910025831203,3.498118337580656,4.6855318290051073e-4,0.07370697265611172,0.26154639401182284
mhi_s,:=,DS*SM,-0.14431549559279916,0.04013257389850972,-3.5959690987613966,3.2318616528614896e-4,-0.22297389504077042,-0.06565709614482788
mhi_so,:=,DSO*SOM,0.08337356394370052,0.04402478790963892,1.8937868392421364,0.05825330922782501,-0.002913434786206162,0.16966056267360718
mhi_it,:=,DIT*ITM,-0.02753733070050619,0.011016716468369691,-2.4995951179799496,0.012433531624523875,-0.04912969820640008,-0.005944963194612303
mhi_sos,:=,SOS*SM,-0.3156962665940055,0.06207598726077393,-5.085642299457962,3.663840064671575e-7,-0.4373629659298896,-0.19402956725812143
mhi_its,:=,ITS*SM,-0.16633341965372003,0.041485110350567976,-4.0094727541551,6.085447385117959e-5,-0.24764274183550306,-0.085024097471937
total,:=,DM+(DS*SM)+(DSO*SOM)+(DIT*ITM),-0.21204796281873348,0.058120174398427024,-3.648439892232539,2.6383761245818427e-4,-0.3259614114148373,-0.09813451422262963
total_shame,:=,DM+(DS*SM),-0.2678841960619278,0.059730104968387425,-4.48491085364252,7.294442514682586e-6,-0.3849530505927641,-0.15081534153109155
total_selfobj,:=,DM+(DSO*SOM),-0.04019513652542814,0.049532614062532745,-0.8114882948572741,0.41708531213643374,-0.13727727614811452,0.056887003097258235
total_inttrans,:=,DM+(DIT*ITM),-0.15110603116963484,0.05388238138544696,-2.804368093694666,0.005041531172133462,-0.25671355808636226,-0.0454985042529074
total_shame2,:=,DM+(DS*SM)+SOM+(SOS*SM)+ITM+(ITS*SM),-0.7480456462484082,0.04702991632792217,-15.905740529763296,0,-0.8402225884470679,-0.6558687040497485
